反照率 Albedo
CNav1 CNav1
G半机械人精英女性LOD4 GCyborgEliteFemaleLod4
等离子步枪 PlasmaRifle
殖民地电视01 ColonyTv01
损伤后方 DamageRear
按钮 Button
C巢穴领主中部件05 CHiveLordMidpiece05
GSe标志空01碎片01 GSeSignEmpty01Debris01
极地岩石巨型02 ArcticRockMassive02
Buckle Buckle
G战争机器LOD2 GWarmachineLod2
GSam地点 GSamSite
R后腿膝盖剔除 RBackLegKneeCull
G身体阴影LOD2 GBodyShadowLod2
胡须61 Beard61
Tier2 Tier2
后方机器人手臂02 RearBotArm02
岩石岩屑02 RockyTalus02
GIl废墟方块02 GIlRuinBlock02
C墓碑01 CHeadstone01
半机械人坦克已摧毁01 CyborgTankDestroyed01
R负重轮01位移 RRoadwheel01Translation
M装甲标准 MArmorStandard
远端淡出偏移01 FarFadeOffset01
VerticalGripFlashlight VerticalGripFlashlight
前L滑块 FrontLSlider
M螺栓 MBolt
C移动49 CMovement49
GHabs尸体06LOD5 GHabsCorpse06Lod5
GSe轰炸机已摧毁右翼阴影LOD2 GSeBomberDestroyedRightWingShadowLod2
GSe中型墙柱完整阴影LOD2 GSeWallmedPillarFullShadowLod2
鲸骨骼02 WhaleBone02
护盾区域 ShieldZone
腿01 Leg01
A手指01 AFinger01
G战壕墙中型3m斜率左01LOD1 GTrenchWallMedium3mSlopeLeft01Lod1
G半机械人坦克炮塔炮已摧毁01LOD1 GCyborgTankTurretCannonDestroyed01Lod1
真理发射器塔屏幕02 TruthTransmitterTowerScreen02
GCase022stackedShadowLod2 GCase022stackedShadowLod2
GSe情报样本02阴影LOD2 GSeIntelSample02ShadowLod2
GHarpoonGunLod3 GHarpoonGunLod3
M太阳面板01 MSolarPanel01
G武器箱关闭01LOD4 GWeaponcrateClosed01Lod4
G沼泽英雄树大型LOD1 GSwampHeroTreeLargeLod1
附加颜色R强度 AddColorRStrength
GMagazineHeatsinkRevolver GMagazineHeatsinkRevolver
HologramWpToRealWp1 HologramWpToRealWp1
G通用碎片大型02LOD1 GGenericDebrisLarge02Lod1
G虫族洞穴墙01 GBugCaveWall01
动作转向小型 ActionTurnSmall
ActionStabExecute ActionStabExecute
L嘴下部关节 LMouthLowerJnt
DeathPilot DeathPilot
C导航悬挑02 CNavigationOverhang02
FeedBolt FeedBolt
G岩石岩石中型01LOD5 GRockyRockMedium01Lod5
G战斗工人男性尸体02LOD4 GFightingWorkerMaleCorpse02Lod4
GIl废墟方块01LOD3 GIlRuinBlock01Lod3
G箱052堆叠LOD1 GBox052stackLod1
GHabs箱啤酒小型01LOD5 GHabsCrateBeerSmall01Lod5
G虫族岩石墙细节01阴影 GBugRockWallDetail01Shadow
G冲锋枪防御者LOD5 GSmgDefenderLod5
G横幅02LOD2 GBanner02Lod2
G战斗工人男性尸体05阴影LOD2 GFightingWorkerMaleCorpse05ShadowLod2
GIl废墟柱 GIlRuinPillar
M机器人眼睛 MBoteye
G携带数据LOD2 GCarryDataLod2
G手雷箱可发现01 GGrenadeBoxDiscoverable01
殖民地电视05 ColonyTv05
RThrusterNoseRearBase RThrusterNoseRearBase
G战斗步行机残骸 GCombatWalkerWreck
G荒原松树01碎肉20 GMoorPinetree01Gibs20
G舱7m门LOD2 GBay7mDoorsLod2
边缘淡出U最小 EdgeFadeUMin
GSeSignWarningExplosives01Debris02 GSeSignWarningExplosives01Debris02
瞄准 Aim
显示洞穴 DisplayCaves
肩部左受损 ShoulderLeftDamaged
调试切换 DebugToggle
火箭21 Rocket21
G虫族巢穴墙小型LOD2 GBugHiveWallSmallLod2
GIl柱完整小型LOD4 GIlPillarWholeSmallLod4
C废墟碎石碰撞07 CRubbleCollision07
GRadarWagonLod4 GRadarWagonLod4
G虫族羊肚菌集群01LOD1 GBugMorelCluster01Lod1
C天气叶片高07 CWeatherVaneTall07
G岩石柱01LOD3 GRockPillar01Lod3
G钻头LOD1 GDrillLod1
GHabs通风墙013LOD2 GHabsVentilationWall013Lod2
C脊柱5球体 CSpine5Sphere
G沙质方形岩石中型01阴影LOD2 GSandySquareRockMedium01ShadowLod2
C步行机R前 CWalkerRFront
Medal Medal
RLowerLipMidJnt RLowerLipMidJnt
GHabs栅栏01LOD2 GHabsFence01Lod2
G弹药箱空01LOD3 GAmmocrateEmpty01Lod3
G战斗工人男性尸体02阴影LOD2 GFightingWorkerMaleCorpse02ShadowLod2
L钳制31 LClamp31
G穿梭机舱建筑天线阴影LOD1 GShuttleBayBuildingAntennaShadowLod1
身体袋堆 BodyBagPile
G教学虫族动物园1地面01 GTutorialBugZoo1Floor01
GHabs栏杆2m阴影 GHabsRailing2mShadow
GColonyElectricStreetBox01Lod2 GColonyElectricStreetBox01Lod2
GCoolingServer02Lod2 GCoolingServer02Lod2
L后引擎翼片L5 LBackEngineFlapL5
G极地岩石巨型02LOD4 GArcticRockMassive02Lod4
M附件 MAttachment
G通用碎片组填充巨大02 GGenericDebrisSetFillerHuge02
G入口板LOD2 GEntrancePlateLod2
GHabs箱大型012堆叠LOD4 GHabsCrateLarge012stackLod4
C掩体门011 CBunkerDoor011
G殖民地中继平台01LOD2 GColonyRelayPlatform01Lod2
GHabs栏杆角落阴影 GHabsRailingCornerShadow
M行星 MPlanet
G城市车辆07LOD3 GCityCar07Lod3
G躯干手臂L女性阴影 GTorsoArmLFemaleShadow
子弹07 Bullet07
AimWeaponShouldermount AimWeaponShouldermount
Habs墙天气3m01 HabsWallWeather3m01
G手雷箱可发现01LOD4 GGrenadeBoxDiscoverable01Lod4
GIl平台直线阴影 GIlPlatformStraightShadow
G殖民地标志01碎片08 GColonySign01Debris08
R负重轮04位移 RRoadwheel04Translation
G冰柱石笋03阴影 GIcicleStalagmites03Shadow
GHabs球形坦克大型01阴影 GHabsSphericalTankLarge01Shadow
GShockTrooperCapeSimple GShockTrooperCapeSimple
G弹匣大型LOD4 GMagLargeLod4
MPlantSample01 MPlantSample01
手臂01 Arm01
横幅03 Banner03
L后引擎俯仰 LBackEnginePitch
G腿部髋部男性LOD2 GLegsHipsMaleLod2
半机械人管线直线 CyborgPipelineStraight
MIl墙圆形12r MIlWallCircle12r
腿左完整 LegLeftWhole
MCarpet MCarpet
L头部072关节 LHead072Jnt
GSe中型墙墙完整蓝色阴影LOD1 GSeWallmedWallFullBlueShadowLod1
G轮胎01阴影LOD4 GTire01ShadowLod4
GPatiotableSmall01FoldedShadow GPatiotableSmall01FoldedShadow
G大型集水器01LOD3 GLargeWatercollector01Lod3
L前腿髋部瞄准结束 LFrontLegHipAimEnd
法线01平铺 Normal01Tile
G冲击烟雾手雷阴影LOD2 GImpactSmokeGrenadeShadowLod2
G沙袋堆01LOD1 GSandbagPile01Lod1
Footrest03 Footrest03
G喷火器阴影 GFlamerShadow
掩体进入 CoverEnter
枪口03 Muzzle03
GSwordShadow GSwordShadow
G殖民地半机械人生成器废墟碎石LOD2 GColonyCyborgSpawnerRubbleLod2
R脚趾爪中部 RToeClawMiddle
G岩石柱03LOD2 GRockPillar03Lod2
火箭枪口 RocketMuzzle
抖动13 Jiggle13
G半机械人冷却结构LOD3 GCyborgCoolingStructureLod3
R头部0102关节 RHead0102Jnt
G冰冰柱03阴影 GIceIcicle03Shadow
GIl掩体墙01LOD5 GIlCoverWall01Lod5
Crawl Crawl
GReciever GReciever
G极地岩石通用废墟碎石03LOD2 GArcticRockGenericRubble03Lod2
G树桩大型01LOD3 GStumpLarge01Lod3
M生成器灯02 MGeneratorLamp02
G研究技术样本01LOD2 GResearchTechSample01Lod2
护盾底部完整 ShieldBottomWhole
G极地岩石通用中型01LOD1 GArcticRockGenericMedium01Lod1
GObstacleCourseCrawlLod3 GObstacleCourseCrawlLod3
BulbSurface7 BulbSurface7
G根部膝盖01LOD3 GRootknee01Lod3
M幂基地自发光 MPowerStationEmissive
CF活塞02 CFPiston02
BossGenLs02Cg BossGenLs02Cg
R后侧面工厂活塞 RBackSideFactoryPiston
G日志大型03LOD4 GLogLarge03Lod4
G精英霰弹枪 GEliteShotgun
GBerserkerCorpse01ShadowLod2 GBerserkerCorpse01ShadowLod2
G废墟掩体直线1m01LOD2 GRuinCoverStraight1m01Lod2
M通用情报自发光 MGenericIntelEmissive
岩石山02 RockyMountain02
GIl电池机器01LOD4 GIlBatteryMachine01Lod4
G躯干内衣男性 GTorsoUndergarmentMale
R火箭舱 RRocketpod
脊柱下部1剔除 SpineLower1Cull
GIl坡道阴影 GIlRampShadow
后腿1L BackLeg1L
ChaLieutentant ChaLieutentant
位移方向幅度 DisplaceDirectionMagnitude
InspectHologramLoop InspectHologramLoop
Seg3Adjust Seg3Adjust
子弹6 Bullet6
G极地岩石通用中型06阴影LOD2 GArcticRockGenericMedium06ShadowLod2
G武器架LOD5 GWeaponRackLod5
GSe中型墙墙第三LOD2 GSeWallmedWallThirdLod2
MJacket4 MJacket4
C屏幕 CScreen
GGuardDogStunBackpack GGuardDogStunBackpack
通用碎片组填充医疗02 GenericDebrisSetFillerMed02
可受损枪 DamageableGun
G战壕墙中型3m斜率右01阴影LOD2 GTrenchWallMedium3mSlopeRight01ShadowLod2
左手臂完整 LeftArmWhole
腰带06 Belt06
C六边形17 CHex17
M门01 MDoor01
噪声遮罩颜色锐度 NoiseMaskColorSharpness
GBugSpawnerShriekerLod3 GBugSpawnerShriekerLod3
G弹药箱01LOD1 GAmmobox01Lod1
脊柱下部2 SpineLower2
GMeatglueLod2 GMeatglueLod2
L额外肩部 LExtraShoulder
导弹发射器完整 MissileLauncherWhole
G战壕墙3m储存01阴影 GTrenchWall3mStorage01Shadow
G虫族尸体充电器01阴影 GBugCorpseCharger01Shadow
GIl电缆003LOD5 GIlCables003Lod5
G极地岩石巨型02阴影LOD1 GArcticRockMassive02ShadowLod1
GExpendableNapalmLauncherLod3 GExpendableNapalmLauncherLod3
C脊柱4 CSpine4
GCombatWalkerMissleLauncherLod2 GCombatWalkerMissleLauncherLod2
积雪控制 SnowControl
G日志大型01阴影 GLogLarge01Shadow
GElectricBatonLod1 GElectricBatonLod1
附加炮塔L AttachTurretL
C碰撞14 CCollision14
L负重轮02位移 LRoadwheel02Translation
G通用碎片小型012阴影 GGenericDebrisSmall012Shadow
G虫族岩石墙细节02阴影LOD1 GBugRockWallDetail02ShadowLod1
激光手枪 LaserPistol
LightMast1 LightMast1
C废墟碎石碰撞11 CRubbleCollision11
CHabs球形油坦克01 CHabsSphericalOilTank01
BerserkerCorpse01 BerserkerCorpse01
L盖2 LLid2
GPatiotableSmall01Debris1 GPatiotableSmall01Debris1
脊柱0 Spine0
G后1螺栓手柄 GBack1Bolthandle
G虫族尸体战士03LOD1 GBugCorpseWarrior03Lod1
碰撞8 Collision8
计算机中心01 ComputerHub01
光照绿色 LightGreen
G地狱潜兵雕像废墟碎石LOD4 GHelldiverStatueRubbleLod4
Frv出口前右 FrvExitFrontRight
LocomotionCrawling LocomotionCrawling
G虫族岩石孔01LOD5 GBugRockHole01Lod5
R拇指 RThumb
光照插座05 LightSocket05
L肩部活塞1结束 LShoulderPiston1End
GImpalerLod4 GImpalerLod4
G横幅03阴影LOD1 GBanner03ShadowLod1
子弹9 Bullet9
GCutter1 GCutter1
尾部完整 TailWhole
GSe旗帜杆01LOD1 GSeFlagpole01Lod1
碰撞22 Collision22
DrawSwords DrawSwords
EagleBomb EagleBomb
GHabs通风墙02LOD3 GHabsVentilationWall02Lod3
躯干装甲 TorsoArmor
GFlashhiderShadow GFlashhiderShadow
Crash02 Crash02
旋转 Rotation
G极地岩石通用小型02阴影LOD1 GArcticRockGenericSmall02ShadowLod1
FoodTray01 FoodTray01
GHabs栏杆2m掩体LOD2 GHabsRailing2mCoverLod2
GSe碉堡柱LOD5 GSePillboxPillarLod5
G碎片07 GDebris07
颜色受损乘数01 ColorDamagedMult01
腐蚀飞镖枪 CausticDartGun
脚趾06 Toe06
AdditiveDone AdditiveDone
正弦向量01 SineVector01
L火箭舱1 LRocketpod1
InspectUndercarriageLoop InspectUndercarriageLoop
M建筑废墟碎石 MBuildingRubble
菲涅耳V遮罩 FresnelVMask
G城市车辆03阴影LOD1 GCityCar03ShadowLod1
Alt Alt
G森林岩石中型01LOD4 GForestRockMedium01Lod4
GMarksmanRifleJusticeShadowLod3 GMarksmanRifleJusticeShadowLod3
GCoolingServer01Shadow GCoolingServer01Shadow
IrisOpened IrisOpened
G殖民地屋顶道具04LOD2 GColonyRoofProp04Lod2
激光炮 LaserCannon
C碰撞80 CCollision80
GCyborgTankTurretAutocannonsDestroyed01Lod3 GCyborgTankTurretAutocannonsDestroyed01Lod3
锁R02 LockR02
CRStrut CRStrut
火焰开始 FireStart
弹药箱 Ammobox
G战壕墙中型柱02阴影 GTrenchWallMediumPillar02Shadow
激光电池中型 LaserBatteryMedium
GRadioShadowLod3 GRadioShadowLod3
C废墟碎石9 CRubble9
C移动46 CMovement46
G地面部件侧面阴影 GFloorPieceSideShadow
GCy枪管01碎片01 GCyBarrel01Debris01
G废墟掩体直线3m02LOD5 GRuinCoverStraight3m02Lod5
G无人机机枪LOD4 GDroneMgLod4
G沙质通用岩石小型04LOD3 GSandyGenericRockSmall04Lod3
G腐蚀飞镖LOD2 GCausticDartLod2
C巢穴领主中部件01 CHiveLordMidpiece01
L后腿大腿剔除 LBackLegThighCull
栅栏 Fence
GPipesSinglepipe01Lod1 GPipesSinglepipe01Lod1
Traverse Traverse
GXlPipeAccessory01Lod1 GXlPipeAccessory01Lod1
NoFire NoFire
G岩石柱04阴影 GRockPillar04Shadow
G半机械人冷却管道微型附件02LOD5 GCyborgCoolingPipeTinyAttachment02Lod5
G荒原长苔枕头03LOD2 GMoorMossyPillow03Lod2
G岩石岩石中型01 GRockyRockMedium01
G内衣 GUndergarment
CloudAtmosphereRadius CloudAtmosphereRadius
右后腿团块 RightBackLegBlob
边缘噪声平铺 EdgeNoiseTile
C气体坦克L CGastankL
抬升脚锁L RaiseFootlockL
L手臂3 LArm3
R炮塔 RTurret
GCy探测器塔LOD2 GCyDetectorTowerLod2
右手臂受损 RightArmDamaged
GIl雕像中型破损01LOD2 GIlStatueMediumBroken01Lod2
C通用碎片中型011 CGenericDebrisMedium011
G战斗工人男性01LOD3 GFightingWorkerMale01Lod3
C天气叶片高43 CWeatherVaneTall43
GHabs储存墙01阴影LOD1 GHabsStorageWall01ShadowLod1
GIl尸体堆大型02LOD1 GIlCorpsePileLarge02Lod1
GColonyCheckpointBarrier01Lod1 GColonyCheckpointBarrier01Lod1
AO Ao
MHellbomb MHellbomb
FanLTp FanLTp
L门 LDoor
ResumeFlight ResumeFlight
骨骼生物04 BoneCreature04
G飞机26 GPlane26
G虫族岩石柱02 GBugRockPillar02
G战壕地面角落01阴影LOD1 GTrenchFloorCorner01ShadowLod1
G等离子步枪充能阴影LOD3 GPlasmaRifleChargeShadowLod3
G等离子步枪充能阴影LOD1 GPlasmaRifleChargeShadowLod1
MBodyBags MBodyBags
G战壕墙中型1m01LOD1 GTrenchWallMedium1m01Lod1
SeSignWarningElectricity01 SeSignWarningElectricity01
CPipesSinglepipe01 CPipesSinglepipe01
黑色孔噪声 BlackHoleNoise
G通用碎片小型06LOD2 GGenericDebrisSmall06Lod2
GSignSafeGrenadeUseLod2 GSignSafeGrenadeUseLod2
R脚活塞2 RFootPiston2
GCyDetainedPrisoners03ShadowLod2 GCyDetainedPrisoners03ShadowLod2
G殖民地建筑中型01A GColonyBuildingMedium01A
DeathElectrocution DeathElectrocution
头部光照L1 HeadLightL1
CKillVolume CKillVolume
GHabs箱啤酒小型01LOD2 GHabsCrateBeerSmall01Lod2
G生成大型舰船01 GGenLargeship01
R武器左舱门 RWeaponLeftHatch
G重型喷火器背包LOD5 GHeavyFlamethrowerBackpackLod5
G幂基地群体废墟碎石01LOD2 GPowerStationHordeRubble01Lod2
G腿部髋部男性 GLegsHipsMale
前R手臂 FrontRArm
GHabs楼梯屋顶出口右01LOD3 GHabsStairsRoofExitRight01Lod3
R前手臂2 RFrontArm2
G岩石废墟碎石01LOD1 GRockRubble01Lod1
G孢子集群02阴影 GSporeCluster02Shadow
C六边形19 CHex19
G森林树02碎肉06 GForestTree02Gibs06
GCy资源发射井01LOD3 GCyResourceSilo01Lod3
Seg2中心完整 Seg2CenterWhole
G半机械人炮塔高LOD1 GCyborgTurretTallLod1
超级地面缓存翼R SuperEarthCacheWingR
G岩石山03 GRockyMountain03
GColonyFireHydrant01 GColonyFireHydrant01
GShoulderMountedCameraShadowLod1 GShoulderMountedCameraShadowLod1
GFwd GFwd
G半机械人冷却管道附件02阴影 GCyborgCoolingPipeAttachment02Shadow
GCy栅栏3x碎片08 GCyFence3xDebris08
G通用碎片中型09LOD2 GGenericDebrisMedium09Lod2
GHarpoonGunLod1 GHarpoonGunLod1
G殖民地建筑倾斜01废墟碎石阴影LOD1 GColonyBuildingAngled01RubbleShadowLod1
C孢子光照01 CSporeLight01
GIl废墟碎石堆01 GIlRubblePile01
G步枪LOD5 GRifleLod5
RNosewingJnt RNosewingJnt
极地岩石通用中型06 ArcticRockGenericMedium06
G绝地机械样本01阴影LOD1 GAutomatonSample01ShadowLod1
GIl废墟方块02LOD3 GIlRuinBlock02Lod3
GHabs栏杆角落掩体LOD2 GHabsRailingCornerCoverLod2
碎片012 Debris012
Habs通风屋顶01 HabsVentilationRoof01
G殖民地墙分段2m5受损阴影LOD1 GColonyWallSegment2m5DamagedShadowLod1
GCy障碍栅栏小型01LOD3 GCyBarrierFenceSmall01Lod3
G沙质方形岩石中型01阴影 GSandySquareRockMedium01Shadow
ExitBoot ExitBoot
扩展 Extended
GCyDetainedPrisoners01Lod1 GCyDetainedPrisoners01Lod1
GHabs箱大型01碎片02 GHabsCrateLarge01Debris02
GreenCorpBiosphere01Debris01 GreenCorpBiosphere01Debris01
ReloadCricketOnehand ReloadCricketOnehand
G鲸骨骼04阴影 GWhaleBone04Shadow
GSignRecommendedMovementLod1 GSignRecommendedMovementLod1
GHabs通风墙02阴影 GHabsVentilationWall02Shadow
L腿 LLeg
G搜索光照地面LOD3 GSearchLightGroundLod3
GHandtruck01 GHandtruck01
抖动12 Jiggle12
R炮塔瞄准04 RTurretAim04
GHiveWorldSporeLungLod1 GHiveWorldSporeLungLod1
ConsoleRotator ConsoleRotator
G森林山02LOD1 GForestMountain02Lod1
M研究技术样本01 MResearchTechSample01
G混凝土障碍02 GConcreteBarrier02
LBallShield LBallShield
G半机械人管线T形段阴影 GCyborgPipelineTsectionShadow
GHabs平台1x2 GHabsPlatform1x2
M网 MWeb
G殖民地建筑中型03ALOD2 GColonyBuildingMedium03ALod2
G身体袋02阴影LOD1 GBodyBag02ShadowLod1
教学虫族动物园1地面01 TutorialBugZoo1Floor01
L头部0105关节 LHead0105Jnt
Neuroperversion Neuroperversion
LKneeHydraulicsEnd LKneeHydraulicsEnd
G殖民地半机械人生成器废墟碎石阴影LOD2 GColonyCyborgSpawnerRubbleShadowLod2
手臂Y02 ArmY02
DetailTrimsheetNar DetailTrimsheetNar
沙质圆形岩石巨型01 SandyRoundRockMassive01
G磁轨炮LOD5 GRailgunLod5
M虫族岩石墙细节02 MBugRockWallDetail02
Habs楼梯屋顶出口栏杆01 HabsStairsRoofExitRailing01
G岩石废墟碎石02阴影LOD2 GRockRubble02ShadowLod2
G躯干手臂R女性阴影 GTorsoArmRFemaleShadow
GReconLod3 GReconLod3
手雷完成 GrenadeDone
G通用碎片小型013 GGenericDebrisSmall013
使用生命周期 UseLifetime
SlingAttach SlingAttach
G殖民地虫族生成器01LOD5 GColonyBugSpawner01Lod5
G研究基地 GResearchStation
G轮胎01阴影 GTire01Shadow
钳制点 ClampPoint
GCy战壕墙3mX6LOD5 GCyTrenchWall3mX6Lod5
G鲸骨骼03LOD1 GWhaleBone03Lod1
L火箭发射器偏航 LRocketLauncherYaw
黑藏红花样本01 BlacksaffronSample01
GHabs平板阴影 GHabsTabletShadow
G管道堆01LOD1 GPipesPile01Lod1
GHabs地面板01阴影 GHabsGroundplate01Shadow
M岩石大型03 MRockLarge03
C引擎R2 CEngineR2
近战出口 MeleeExit
脚趾01 Toe01
R腿 RLeg
地雷发射器坦克地雷 MineLauncherTankMine
GSePlaygroundSpringRocker01Lod4 GSePlaygroundSpringRocker01Lod4
G城市车辆废墟碎石07LOD3 GCityCarRubble07Lod3
SmgRhinoStandardMagazine SmgRhinoStandardMagazine
ContactMine ContactMine
G罐装食物大型01碎片02 GCannedFoodBig01Debris02
R后引擎受损 RBackEngineDamaged
自发光粒子强度 EmissiveParticleIntensity
MCy工厂烟囱 MCyFactoryChimney
BowR BowR
G带刺铁丝废料01 GBarbwireScrap01
L负重轮09位移 LRoadwheel09Translation
GSawShadowLod2 GSawShadowLod2
AimSource AimSource
纹理02平铺 Tex02Tile
BackMechanics BackMechanics
近战左 MeleeLeft
C废墟碎石32 CRubble32
G垃圾桶01LOD2 GTrashbin01Lod2
自发光高度淡出距离 EmissiveHeightFadeDistance
Retract02 Retract02
G废墟碎石LOD3 GRubbleLod3
G绝地机械超级样本01LOD5 GAutomatonSuperSample01Lod5
LSeatstrap3 LSeatstrap3
G箱03LOD4 GBox03Lod4
G男性平民尸体01LOD4 GMaleCivilianCorpse01Lod4
废墟碎石碰撞切片01 RubbleCollisionSlice01
DeathInternals DeathInternals
G殖民地建筑中型01B阴影LOD2 GColonyBuildingMedium01BShadowLod2
战斗嘲讽 CombatTaunt
G虫族集群01LOD1 GBugCluster01Lod1
R前手臂1 RFrontArm1
L腿剔除 LLegCull
活塞基础2 PistonBase2
GCy火炮外壳空堆小型01阴影LOD1 GCyArtilleryShellEmptyPileSmall01ShadowLod1
GMeatglueLod3 GMeatglueLod3
C碰撞02金属度 CCollision02Metal
噪声2平铺XY平移XY Noise2TilexyPanxy
噪声01纹理采样器 Noise01TextureSampler
G弹药箱03LOD4 GAmmoBox03Lod4
G草原英雄悬崖01LOD1 GSavannaHeroCliff01Lod1
GCy木桶1x2阴影 GCyBarrels1x2Shadow
RoboticsModuleHellpods RoboticsModuleHellpods
GHabs栏杆2m掩体阴影 GHabsRailing2mCoverShadow
后左推进器 BackLeftThruster
G通用碎片组填充巨大01LOD1 GGenericDebrisSetFillerHuge01Lod1
PincerR PincerR
G虫族尸体血肉堆02阴影LOD1 GBugCorpseGorePile02ShadowLod1
L前位移 LFrontTranslation
GSe链式围栏墙完整 GSeChainfenceWallFull
GIl柱破损大型LOD5 GIlPillarBrokenLargeLod5
GIl废墟方块02阴影 GIlRuinBlock02Shadow
G超级地面缓存翼R阴影 GSuperEarthCacheWingRShadow
GIlEncounterShipInvasionLod3 GIlEncounterShipInvasionLod3
C移动26 CMovement26
GIl墙圆形低6r阴影LOD1 GIlWallCircleLow6rShadowLod1
StrategemSeDest02C StrategemSeDest02C
G废墟碎石01LOD3 GRubble01Lod3
GTeslaTurretShadowLod1 GTeslaTurretShadowLod1
G极地岩石通用中型04 GArcticRockGenericMedium04
C天气叶片高40 CWeatherVaneTall40
G力破坏01 GForceDestruction01
Pallet01 Pallet01
GRadio GRadio
GHabs尸体手臂02LOD3 GHabsCorpseArm02Lod3
GCksTempLod2 GCksTempLod2
G战壕墙中型柱01LOD3 GTrenchWallMediumPillar01Lod3
自发光行星平铺 EmissivePlanetTiling
G盖后 GLidBack
GIl雕像中型破损01LOD5 GIlStatueMediumBroken01Lod5
GHabs尸体04阴影 GHabsCorpse04Shadow
CentrifugePipe7 CentrifugePipe7
M地面舱门01 MGroundHatch01
头部后抖动 HeadBackJiggle
Il废墟碎石堆01 IlRubblePile01
GBarbwireSpool01Lod4 GBarbwireSpool01Lod4
GSignMaintainSafeDistanceShadowLod1 GSignMaintainSafeDistanceShadowLod1
附加弹匣2 AttachMag2
导弹首领 MissileBoss
六边形03 Hex03
G冰冰柱02LOD4 GIceIcicle02Lod4
G穿梭机舱建筑入口阴影 GShuttleBayBuildingEntranceShadow
R下部锁01 RLowerLock01
GHabs尸体身体01LOD2 GHabsCorpseBody01Lod2
G齐射枪阴影LOD2 GVolleyGunShadowLod2
G容器04阴影 GContainer04Shadow
GBallisticShieldBackpackMk2Lod1 GBallisticShieldBackpackMk2Lod1
Arm3Link3 Arm3Link3
Il尸体堆大型03 IlCorpsePileLarge03
G殖民地管道预制件02阴影1 GColonyPipesPrefab02Shadow1
G根部膝盖03阴影 GRootknee03Shadow
G步枪LOD3 GRifleLod3
G逃逸舱热护盾 GEscapePodHeatshield
光照8 Light8
GIl柱完整小型 GIlPillarWholeSmall
内部身体 InnerBody
CHabs平板02 CHabsTablet02
CorpsesBurnedLying04 CorpsesBurnedLying04
GMedicalBayStool01 GMedicalBayStool01
GIl柱完整小型废墟碎石碎片09 GIlPillarWholeSmallRubbleDebris09
RearSightHinge RearSightHinge
R腿3剔除 RLeg3Cull
G冰结构03LOD1 GIceStructure03Lod1
LFSeatbelt LFSeatbelt
G废墟废料堆地面4m01阴影LOD1 GRuinScrapHeapFloor4m01ShadowLod1
GSe枪管012xLOD4 GSeBarrel012xLod4
CSpade1 CSpade1
触手左2 TentacleLeft2
G沙袋堆01阴影 GSandbagPile01Shadow
G半机械人有机组件地点管道02LOD1 GCyborgOrganicAssemblySitePipe02Lod1
GHabs容器大型02阴影LOD2 GHabsContainerLarge02ShadowLod2
GIl电缆005LOD4 GIlCables005Lod4
曲面UV尺寸 CurvedUvSize
Flower Flower
G齐射枪弹匣阴影 GVolleyGunMagazineShadow
布娃娃大腿L RagdollThighL
G横幅02 GBanner02
DrawStickyGrenade DrawStickyGrenade
G巢穴领主端部件 GHiveLordEndpiece
地雷发射器 MineLauncher
枪 Gun
M血肉堆01 MGorePile01
G虫族尸体战士身体阴影LOD1 GBugCorpseWarriorBodyShadowLod1
M终端屏幕 MTerminalScreen
披风6 Cape6
G天气叶片高01 GWeatherVaneTall01
ValveOpened ValveOpened
开始泵 StartPump
GSe教学墙柱01LOD1 GSeTutorialWallPillar01Lod1
GWeldingTool GWeldingTool
C碰撞75 CCollision75
G巢穴领主中部件阴影LOD2 GHiveLordMidpieceShadowLod2
G计算机平板 GComputerTablet
G研究技术样本01LOD3 GResearchTechSample01Lod3
G日志中型02阴影LOD1 GLogMedium02ShadowLod1
特大管道1x XlPipe1x
面板4活塞 Panel4Piston
噪声01平铺 Noise01Tiling
Xneg Xneg
G半机械人冷却管道附件01LOD1 GCyborgCoolingPipeAttachment01Lod1
G额外屏幕08阴影LOD1 GExtraScreen08ShadowLod1
噪声02深度遮罩 Noise02DepthMask
L外部脚趾 LOuterToe
GCy容器小型01 GCyContainerSmall01
轮胎03 Tire03
头部光照 Headlight
G平台套件楼梯B GPlatformKitStairsB
LUpperAirbrakePiston1 LUpperAirbrakePiston1
G箱体03 GCase03
G气体地雷 GGasMine
C左腿 CLeftLeg
Habs通风墙05 HabsVentilationWall05
位移方向数量 DisplaceDirectionAmount
G小型通用风车01阴影LOD2 GSmallGenericWindmill01ShadowLod2
Se旗帜水平04 SeFlagHorizontal04
弹药箱03 AmmoBox03
G闸门01LOD1 GGate01Lod1
GSeafShellNapalmShadow GSeafShellNapalmShadow
G虫族网02LOD2 GBugWeb02Lod2
G轮胎01 GTire01
GSeafShellHighYieldShadowLod2 GSeafShellHighYieldShadowLod2
G沼泽英雄树大型根部01LOD2 GSwampHeroTreeLargeRoot01Lod2
L脚趾 LToe
GCy起重机01碎片1 GCyCrane01Debris1
G腿R套件 GLegRKit
M磁轨炮1 MRailgun1
IrisCloseAlt IrisCloseAlt
GRadarWagonLod3 GRadarWagonLod3
首领Cy目标01 BossCyDest01
G树巢03LOD1 GTreeNest03Lod1
GHabs球形坦克大型01 GHabsSphericalTankLarge01
贴花粗糙度 DecalRoughness
GFlagHanging01 GFlagHanging01
G冰结构02阴影 GIceStructure02Shadow
G躯干套件1女性LOD1 GTorsoKit1FemaleLod1
